year,age,age_cat,pop,abbrev,division,pop_std,opioid_deaths,mx,y
1999,40,40-44,490566,WA,Pacific,22479229,95,1.93653861050297e-4,-8.549438213910014
1999,40,40-44,515100,MA,New England,22479229,69,1.3395457192778103e-4,-8.918009830956418
1999,40,40-44,580535,VA,South Atlantic,22479229,48,8.268235334648212e-5,-9.400504360245641
1999,40,40-44,623687,NC,South Atlantic,22479229,46,7.375494438716856e-5,-9.514762522453717
1999,40,40-44,642115,GA,South Atlantic,22479229,15,2.336030150362474e-5,-10.664472493254289
1999,40,40-44,697929,NJ,Middle Atlantic,22479229,71,1.0172954555549347e-4,-9.193192780331739
1999,40,40-44,807841,MI,East North Central,22479229,23,2.8470949110035268e-5,-10.466626320031711
1999,40,40-44,919604,OH,East North Central,22479229,46,5.0021531006824673e-5,-9.903057025089877
1999,40,40-44,977421,IL,East North Central,22479229,108,1.1049486352349704e-4,-9.110541522037131
1999,40,40-44,993222,PA,Middle Atlantic,22479229,55,5.537533401394653e-5,-9.801376297762602
1999,40,40-44,1196187,FL,South Atlantic,22479229,86,7.189511338946168e-5,-9.540302259532163
1999,40,40-44,1492389,NY,Middle Atlantic,22479229,125,8.375832306456293e-5,-9.387575012321573
1999,40,40-44,1603808,TX,West South Central,22479229,67,4.177557413356212e-5,-10.083198740104795
1999,40,40-44,2631815,CA,Pacific,22479229,296,1.1246991144894304e-4,-9.092824825879115
1999,45,45-49,38725,DC,South Atlantic,19805793,7,1.8076178179470627e-4,-8.618330516229756
1999,45,45-49,39777,WY,Mountain,19805793,1,2.5140156371772633e-5,-10.591044134782829
1999,45,45-49,49200,VT,New England,19805793,2,4.065040650406504e-5,-10.110501721920453
1999,45,45-49,52413,SD,West North Central,19805793,2,3.815847213477572e-5,-10.17376275058261
1999,45,45-49,52540,AK,Pacific,19805793,3,5.709935287400076e-5,-9.770717774571422
1999,45,45-49,53351,DE,South Atlantic,19805793,7,1.312065378343424e-4,-8.938737851641372
1999,45,45-49,72177,MT,Mountain,19805793,2,2.7709658201366086e-5,-10.493729534013312
1999,45,45-49,73294,RI,New England,19805793,5,6.821840805522962e-5,-9.592796116701495
